小时,样本数,平均值,标准差,最小值,最大值,P1,P5,P25,中位数(P50),P75,P90,P95,P99
0,730,1899.01,408.25,3.98,5586.3,1279.23,1489.97,1672.72,1832.41,2087.72,2340.79,2464.72,3150.94
1,729,1735.21,354.19,5.79,5473.45,1178.55,1398.51,1533.2,1665.94,1889.11,2115.74,2248.66,2655.34
2,729,1648.89,325.44,5.79,5413.41,1142.86,1340.67,1478.77,1603.91,1779.88,1970.16,2133.72,2411.78
3,729,1658.52,323.73,5.79,5311.96,1167.94,1356.73,1487.09,1606.45,1787.47,2000.36,2134.66,2402.82
4,729,1741.9,311.12,5.79,4549.33,1162.71,1408.1,1553.46,1698.13,1903.57,2111.47,2261.32,2563.32
5,730,2059.05,414.66,5.79,4121.46,1271.88,1511.03,1778.43,2014.25,2300.53,2611.29,2800.6,3038.91
6,730,2977.07,730.51,5.79,5125.33,1531.82,1921.2,2417.72,2945.96,3460.24,4010.51,4221.88,4526.51
7,730,3755.99,747.06,5.79,5870.04,2076.45,2614.1,3335.14,3737.25,4146.87,4792.28,5046.88,5445.28
8,730,3897.08,708.58,5.79,5914.71,2059.86,2889.74,3516.58,3831.38,4238.78,4891.51,5190.78,5549.0
9,730,3978.48,680.89,5.79,5857.93,2058.88,3015.56,3631.55,3938.08,4308.94,4882.36,5176.52,5461.02
10,730,3847.62,635.87,4.7,5636.39,2128.89,2951.87,3540.18,3811.94,4189.09,4647.82,4866.81,5191.46
11,730,3511.29,532.63,5.43,5218.46,1832.36,2848.17,3253.49,3510.38,3801.04,4115.32,4308.49,4533.62
12,730,3388.87,487.0,5.79,4810.47,1938.71,2747.81,3176.04,3392.11,3655.24,3908.28,4086.37,4373.18
13,730,3233.22,467.91,5.79,4603.23,1972.79,2585.12,3035.48,3232.52,3483.44,3768.19,3885.73,4195.85
14,729,3234.44,502.99,5.79,4778.46,2014.21,2511.82,2991.72,3241.46,3516.17,3838.76,3993.85,4315.99
15,730,3163.18,530.76,5.79,4929.83,1841.68,2401.84,2881.18,3131.78,3451.47,3835.56,4075.68,4374.36
16,730,3188.66,523.16,5.79,4816.44,1896.05,2460.93,2917.21,3146.97,3459.6,3864.24,4092.31,4392.09
17,730,3431.85,559.79,5.79,5097.29,2066.59,2655.42,3142.45,3396.18,3716.77,4132.53,4375.05,4817.59
18,730,3484.88,579.7,5.79,5228.05,2104.99,2709.72,3166.01,3442.84,3797.06,4232.89,4441.27,4868.66
19,730,3602.07,615.29,5.79,5308.34,2105.49,2835.9,3273.34,3532.44,3941.42,4406.85,4660.38,5025.61
20,730,3829.13,669.21,5.79,5531.32,2237.49,2834.65,3431.85,3835.72,4242.93,4702.46,4868.51,5154.83
21,730,3750.44,645.44,5.79,5376.34,2190.78,2768.1,3344.41,3769.08,4186.11,4550.78,4722.9,5068.33
22,730,3178.21,572.04,3.98,6124.67,1989.86,2375.84,2860.42,3170.66,3452.42,3813.73,4000.64,4688.11
23,730,2439.68,519.81,3.98,5848.16,1540.41,1865.13,2116.97,2397.1,2692.74,2996.82,3168.14,4096.09
