时间,出厂水流量
2025-08-28 00:00:00,2309.03
2025-08-28 01:00:00,2085.87
2025-08-28 02:00:00,1825.27
2025-08-28 03:00:00,1810.98
2025-08-28 04:00:00,1937.75
2025-08-28 05:00:00,2387.88
2025-08-28 06:00:00,4307.54
2025-08-28 07:00:00,4996.74
2025-08-28 08:00:00,5168.55
2025-08-28 09:00:00,5148.11
2025-08-28 10:00:00,4742.66
2025-08-28 11:00:00,4212.42
2025-08-28 12:00:00,4205.91
2025-08-28 13:00:00,3532.62
2025-08-28 14:00:00,3363.35
2025-08-28 15:00:00,3880.57
2025-08-28 16:00:00,3763.38
2025-08-28 17:00:00,4280.24
2025-08-28 18:00:00,4286.39
2025-08-28 19:00:00,5155.35
2025-08-28 20:00:00,5493.53
2025-08-28 21:00:00,4639.76
2025-08-28 22:00:00,3930.12
2025-08-28 23:00:00,3055.37
2025-08-29 00:00:00,2406.68
2025-08-29 01:00:00,2115.7
2025-08-29 02:00:00,1793.26
2025-08-29 03:00:00,1821.83
2025-08-29 04:00:00,2029.98
2025-08-29 05:00:00,2522.61
2025-08-29 06:00:00,4240.45
2025-08-29 07:00:00,4919.52
2025-08-29 08:00:00,4824.22
2025-08-29 09:00:00,4859.12
2025-08-29 10:00:00,4655.49
2025-08-29 11:00:00,3998.66
2025-08-29 12:00:00,3902.99
2025-08-29 13:00:00,3768.08
2025-08-29 14:00:00,3460.47
2025-08-29 15:00:00,3607.31
2025-08-29 16:00:00,3757.78
2025-08-29 17:00:00,4048.21
2025-08-29 18:00:00,3874.6
2025-08-29 19:00:00,3972.98
2025-08-29 20:00:00,4514.79
2025-08-29 21:00:00,4238.1
2025-08-29 22:00:00,3569.16
2025-08-29 23:00:00,2877.24
2025-08-30 00:00:00,2427.66
2025-08-30 01:00:00,2126.74
2025-08-30 02:00:00,1732.49
2025-08-30 03:00:00,1809.35
2025-08-30 04:00:00,1908.46
2025-08-30 05:00:00,2279.91
2025-08-30 06:00:00,3897.75
2025-08-30 07:00:00,4078.96
2025-08-30 08:00:00,4422.56
2025-08-30 09:00:00,5071.43
2025-08-30 10:00:00,4788.41
2025-08-30 11:00:00,3762.66
2025-08-30 12:00:00,3558.49
2025-08-30 13:00:00,3351.96
2025-08-30 14:00:00,3515.44
2025-08-30 15:00:00,3428.46
2025-08-30 16:00:00,3699.0
2025-08-30 17:00:00,4060.33
2025-08-30 18:00:00,4031.76
2025-08-30 19:00:00,4129.05
2025-08-30 20:00:00,4286.93
2025-08-30 21:00:00,3891.78
