窗口,方法,名义覆盖,经验覆盖,覆盖偏差,平均宽度,Winkler,CRPS
valid,TimesFM 原生区间,0.8000,0.7731,-0.0269,519.7989,815.3297,132.3402
valid,TimesFM 原生区间,0.6000,0.5806,-0.0194,313.9642,617.1846,132.3402
valid,TimesFM 原生区间,0.4000,0.4102,0.0102,193.2116,492.2685,132.3402
valid,TimesFM 原生区间,0.2000,0.2167,0.0167,92.4543,401.5336,132.3402
valid,Transformer 残差校准,0.8000,0.7657,-0.0343,543.1280,910.7283,138.4258
valid,Transformer 残差校准,0.6000,0.5833,-0.0167,339.7411,641.8940,138.4258
valid,Transformer 残差校准,0.4000,0.4130,0.0130,217.1105,511.7283,138.4258
valid,Transformer 残差校准,0.2000,0.2009,0.0009,99.5017,414.5295,138.4258
valid,方案A vincentization,0.8000,0.8028,0.0028,533.7964,819.4181,127.4709
valid,方案A vincentization,0.6000,0.6333,0.0333,329.4303,592.3684,127.4709
valid,方案A vincentization,0.4000,0.4352,0.0352,207.5509,471.0463,127.4709
valid,方案A vincentization,0.2000,0.2204,0.0204,96.6828,383.3506,127.4709
valid,方案B 直接校准,0.8000,0.7954,-0.0046,551.2139,853.9616,129.4133
valid,方案B 直接校准,0.6000,0.6278,0.0278,332.5677,604.2049,129.4133
valid,方案B 直接校准,0.4000,0.4398,0.0398,209.3574,477.2892,129.4133
valid,方案B 直接校准,0.2000,0.2241,0.0241,96.6954,385.9661,129.4133
valid,方案A' mixture,0.8000,0.8093,0.0093,540.7758,822.3462,127.7659
valid,方案A' mixture,0.6000,0.6519,0.0519,348.4616,596.8752,127.7659
valid,方案A' mixture,0.4000,0.4546,0.0546,213.0641,470.8657,127.7659
valid,方案A' mixture,0.2000,0.2324,0.0324,101.0128,383.8197,127.7659
fit,TimesFM 原生区间,0.8000,0.8111,0.0111,634.6777,922.4833,152.8076
fit,TimesFM 原生区间,0.6000,0.6093,0.0093,387.9382,701.4842,152.8076
fit,TimesFM 原生区间,0.4000,0.4120,0.0120,238.1495,569.8063,152.8076
fit,TimesFM 原生区间,0.2000,0.2019,0.0019,114.8288,469.1614,152.8076
fit,Transformer 残差校准,0.8000,0.7426,-0.0574,543.1280,984.9161,150.2846
fit,Transformer 残差校准,0.6000,0.5833,-0.0167,339.7411,693.0980,150.2846
fit,Transformer 残差校准,0.4000,0.3917,-0.0083,217.1105,553.2329,150.2846
fit,Transformer 残差校准,0.2000,0.2000,0.0000,99.5017,452.2890,150.2846
fit,方案A vincentization,0.8000,0.8167,0.0167,579.7479,907.5009,143.5235
fit,方案A vincentization,0.6000,0.6250,0.0250,359.0199,661.6257,143.5235
fit,方案A vincentization,0.4000,0.4194,0.0194,225.5261,531.7246,143.5235
fit,方案A vincentization,0.2000,0.2185,0.0185,105.6325,435.3459,143.5235
fit,方案B 直接校准,0.8000,0.7824,-0.0176,551.2139,947.6878,145.5045
fit,方案B 直接校准,0.6000,0.5759,-0.0241,332.5677,675.2215,145.5045
fit,方案B 直接校准,0.4000,0.3991,-0.0009,209.3574,537.8993,145.5045
fit,方案B 直接校准,0.2000,0.2148,0.0148,96.6954,436.1567,145.5045
fit,方案A' mixture,0.8000,0.8046,0.0046,577.7848,912.5646,143.6544
fit,方案A' mixture,0.6000,0.6435,0.0435,374.9065,664.6916,143.6544
fit,方案A' mixture,0.4000,0.4389,0.0389,231.7802,530.8862,143.6544
fit,方案A' mixture,0.2000,0.2324,0.0324,109.8232,434.6486,143.6544
全部,TimesFM 原生区间,0.8000,0.7921,-0.0079,577.2383,868.9065,142.5739
全部,TimesFM 原生区间,0.6000,0.5949,-0.0051,350.9512,659.3344,142.5739
全部,TimesFM 原生区间,0.4000,0.4111,0.0111,215.6805,531.0374,142.5739
全部,TimesFM 原生区间,0.2000,0.2093,0.0093,103.6415,435.3475,142.5739
全部,Transformer 残差校准,0.8000,0.7542,-0.0458,543.1280,947.8222,144.3552
全部,Transformer 残差校准,0.6000,0.5833,-0.0167,339.7411,667.4960,144.3552
全部,Transformer 残差校准,0.4000,0.4023,0.0023,217.1105,532.4806,144.3552
全部,Transformer 残差校准,0.2000,0.2005,0.0005,99.5017,433.4092,144.3552
全部,方案A vincentization,0.8000,0.8097,0.0097,556.7721,863.4595,135.4972
全部,方案A vincentization,0.6000,0.6292,0.0292,344.2251,626.9971,135.4972
全部,方案A vincentization,0.4000,0.4273,0.0273,216.5385,501.3854,135.4972
全部,方案A vincentization,0.2000,0.2194,0.0194,101.1576,409.3483,135.4972
全部,方案B 直接校准,0.8000,0.7889,-0.0111,551.2139,900.8247,137.4589
全部,方案B 直接校准,0.6000,0.6019,0.0019,332.5677,639.7132,137.4589
全部,方案B 直接校准,0.4000,0.4194,0.0194,209.3574,507.5943,137.4589
全部,方案B 直接校准,0.2000,0.2194,0.0194,96.6954,411.0614,137.4589
全部,方案A' mixture,0.8000,0.8069,0.0069,559.2803,867.4554,135.7102
全部,方案A' mixture,0.6000,0.6477,0.0477,361.6841,630.7834,135.7102
全部,方案A' mixture,0.4000,0.4468,0.0468,222.4222,500.8760,135.7102
全部,方案A' mixture,0.2000,0.2324,0.0324,105.4180,409.2341,135.7102
