alpha,mae,rmse,mape,mae_imp,rmse_imp,mape_imp,rank_mae,rank_rmse,rank_mape,rank_sum
0.5000,167.2567,235.7481,5.7615,13.8794,13.7634,11.5281,39,9,44,92
0.5100,167.1121,235.7138,5.7545,13.9539,13.7760,11.6351,37,7,42,86
0.5200,166.9725,235.6890,5.7477,14.0257,13.7851,11.7389,35,5,41,81
0.5300,166.8417,235.6738,5.7413,14.0931,13.7906,11.8371,33,3,39,75
0.5400,166.7164,235.6682,5.7352,14.1576,13.7927,11.9319,32,1,37,70
0.5500,166.6055,235.6722,5.7295,14.2147,13.7912,12.0187,30,2,35,67
0.5600,166.4982,235.6859,5.7240,14.2699,13.7862,12.1031,28,4,33,65
0.5700,166.3984,235.7092,5.7188,14.3213,13.7777,12.1829,26,6,32,64
0.5800,166.2997,235.7423,5.7137,14.3722,13.7656,12.2613,25,8,30,63
0.5900,166.2093,235.7850,5.7089,14.4187,13.7500,12.3347,23,10,28,61
0.6000,166.1207,235.8374,5.7043,14.4643,13.7308,12.4064,21,11,26,58
0.6100,166.0377,235.8997,5.6999,14.5071,13.7080,12.4734,19,12,24,55
0.6200,165.9623,235.9717,5.6959,14.5459,13.6817,12.5349,17,13,22,52
0.6300,165.8906,236.0535,5.6921,14.5828,13.6517,12.5930,16,14,20,50
0.6400,165.8228,236.1452,5.6886,14.6177,13.6182,12.6470,13,15,18,46
0.6500,165.7648,236.2468,5.6854,14.6476,13.5810,12.6960,11,16,16,43
0.6600,165.7162,236.3584,5.6825,14.6726,13.5402,12.7399,9,17,14,40
0.6700,165.6756,236.4799,5.6800,14.6935,13.4958,12.7791,7,18,12,37
0.6800,165.6458,236.6115,5.6779,14.7088,13.4476,12.8119,5,19,10,34
0.6900,165.6235,236.7532,5.6761,14.7203,13.3958,12.8393,3,20,8,31
0.7000,165.6106,236.9050,5.6747,14.7270,13.3402,12.8607,1,21,5,27
0.7100,165.6131,237.0671,5.6739,14.7257,13.2810,12.8720,2,22,3,27
0.7200,165.6291,237.2394,5.6737,14.7175,13.2179,12.8755,4,23,1,28
0.7300,165.6553,237.4221,5.6738,14.7040,13.1511,12.8735,6,24,2,32
0.7400,165.6895,237.6153,5.6743,14.6863,13.0804,12.8670,8,25,4,37
0.7500,165.7289,237.8189,5.6749,14.6661,13.0059,12.8577,10,26,6,42
0.7600,165.7731,238.0331,5.6757,14.6433,12.9276,12.8458,12,27,7,46
0.7700,165.8245,238.2580,5.6767,14.6168,12.8453,12.8293,14,28,9,51
0.7800,165.8881,238.4937,5.6782,14.5841,12.7591,12.8064,15,29,11,55
0.7900,165.9667,238.7403,5.6803,14.5436,12.6689,12.7739,18,30,13,61
0.8000,166.0589,238.9978,5.6829,14.4961,12.5747,12.7339,20,31,15,66
0.8100,166.1632,239.2664,5.6860,14.4425,12.4765,12.6875,22,32,17,71
0.8200,166.2774,239.5462,5.6893,14.3836,12.3741,12.6363,24,33,19,76
0.8300,166.4045,239.8373,5.6930,14.3182,12.2676,12.5788,27,34,21,82
0.8400,166.5436,240.1398,5.6971,14.2466,12.1570,12.5158,29,35,23,87
0.8500,166.6922,240.4539,5.7016,14.1701,12.0421,12.4476,31,36,25,92
0.8600,166.8520,240.7797,5.7065,14.0878,11.9229,12.3720,34,37,27,98
0.8700,167.0277,241.1174,5.7120,13.9973,11.7994,12.2883,36,38,29,103
0.8800,167.2202,241.4671,5.7180,13.8982,11.6715,12.1958,38,39,31,108
0.8900,167.4299,241.8289,5.7245,13.7902,11.5391,12.0954,40,40,34,114
0.9000,167.6536,242.2030,5.7315,13.6751,11.4022,11.9876,41,41,36,118
0.9100,167.8936,242.5897,5.7391,13.5515,11.2608,11.8714,42,42,38,122
0.9200,168.1500,242.9890,5.7472,13.4194,11.1147,11.7465,43,43,40,126
0.9300,168.4240,243.4012,5.7561,13.2784,10.9639,11.6111,44,44,43,131
0.9400,168.7105,243.8265,5.7654,13.1308,10.8084,11.4684,45,45,45,135
0.9500,169.0152,244.2651,5.7754,12.9739,10.6479,11.3133,46,46,46,138
