hour,mape,n_samples,pred_range
0,19.213167560258587,540,03:00-08:00
1,21.322559120246268,540,04:00-09:00
2,25.662660534067765,540,05:00-10:00
3,31.753269995744255,540,06:00-11:00
4,39.37399333479903,540,07:00-12:00
5,46.22695017133188,540,08:00-13:00
6,45.08902196032494,540,09:00-14:00
7,35.594497722575575,540,10:00-15:00
8,24.52439332205199,540,11:00-16:00
9,14.890084502562813,540,12:00-17:00
10,9.454150754134043,540,13:00-18:00
11,10.311393240225973,540,14:00-19:00
12,13.69306946635996,540,15:00-20:00
13,24.87017821259911,540,16:00-21:00
14,32.88128109648282,540,17:00-22:00
15,39.135322786856825,540,18:00-23:00
16,53.67340015131514,534,19:00-00:00
17,59.70843094297595,534,20:00-01:00
18,56.8160230342019,534,21:00-02:00
19,47.482969245230485,534,22:00-03:00
20,36.03095574866453,534,23:00-04:00
21,17.118830197655566,534,00:00-05:00
22,15.481238701256121,534,01:00-06:00
23,12.03573742545047,540,02:00-07:00
